loadable,dla,buffers,runs,samples,host_time,device_time,total_energy,base_energy
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,0,8,4,8388608,425.696,425.282,7.3978,4.89225
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,1,8,4,8388608,425.693,425.614,7.43575,4.89925
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,0,122,10,9994240,563.934,563.85,9.56538,6.44372
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,1,122,10,9994240,566.401,566.393,9.63248,6.5205
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,0,488,10,9994240,755.557,755.456,12.6019,8.56935
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b8.nvdla,1,488,10,9994240,759.449,759.303,12.6638,8.62708
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b16.nvdla,0,244,10,9994240,624.907,624.824,10.371,7.14293
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b16.nvdla,1,244,10,9994240,627.317,627.255,10.4423,7.13621
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b128.nvdla,0,30,10,9830400,511.362,511.256,8.79756,5.81174
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b128.nvdla,1,30,10,9830400,512.34,512.232,8.85245,5.9762
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4.nvdla,0,61,163,10181632,1428.17,1428.08,22.2944,17.8978
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4.nvdla,1,61,163,10181632,1452.19,1452.07,22.6007,17.5011
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1024.nvdla,0,8,4,8388608,749.865,749.737,11.067,8.63878
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1024.nvdla,1,8,4,8388608,766.759,766.683,11.5961,12.5096
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2.nvdla,0,122,163,10181632,2051.93,2051.21,33.5894,29.0211
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2.nvdla,1,122,163,10181632,2157.23,2156.99,33.126,24.1603
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b16.nvdla,0,15,166,10199040,1015.07,1015.08,14.7252,11.3335
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b16.nvdla,1,15,166,10199040,1043.22,1043.03,15.0891,11.4705
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b256.nvdla,0,8,19,9961472,894.37,894.101,13.143,9.92476
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b256.nvdla,1,8,19,9961472,917.042,917.055,13.4675,10.1874
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b32.nvdla,0,8,156,10223616,955.611,955.525,14.0111,10.6458
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b32.nvdla,1,8,156,10223616,984.021,983.598,14.2745,10.9395
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b256.nvdla,0,15,10,9830400,504.03,503.757,8.64319,5.59685
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b256.nvdla,1,15,10,9830400,504.996,504.719,8.68002,5.62444
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4096.nvdla,0,8,1,8388608,665.647,665.421,9.56835,7.4316
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b4096.nvdla,1,8,1,8388608,682.963,682.918,9.77797,7.62021
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2048.nvdla,0,8,2,8388608,424.487,424.239,7.33299,4.74962
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2048.nvdla,1,8,2,8388608,425.102,425.028,7.37097,4.72894
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b128.nvdla,0,8,39,10223616,914.937,914.831,13.4604,10.0892
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b128.nvdla,1,8,39,10223616,939.758,939.663,13.7472,10.3612
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b512.nvdla,0,8,9,9437184,480.269,479.998,8.24993,5.32849
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b512.nvdla,1,8,9,9437184,480.939,480.625,8.32373,5.32244
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2.nvdla,0,1953,10,9999360,1832.68,1831.97,26.7591,20.518
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b2.nvdla,1,1953,10,9999360,1870.04,1869.46,26.8216,20.737
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b64.nvdla,0,61,10,9994240,534.886,534.626,9.10923,5.96857
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b64.nvdla,1,61,10,9994240,535.942,535.859,9.12947,5.93842
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b4.nvdla,0,976,10,9994240,1080.56,1080.42,17.0034,12.0089
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b4.nvdla,1,976,10,9994240,1087.83,1087.61,17.1428,12.1194
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b512.nvdla,0,8,9,9437184,843.101,842.887,12.3871,9.616
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b512.nvdla,1,8,9,9437184,864.089,863.798,12.6674,9.56653
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1.nvdla,0,244,163,10181632,3628.2,3627.42,49.859,40.1042
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b1.nvdla,1,244,163,10181632,3713.3,3712.93,50.611,42.1546
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b8.nvdla,0,30,166,10199040,1137.09,1136.98,16.5691,12.6231
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b8.nvdla,1,30,166,10199040,1169.85,1169.8,16.8633,13.0288
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1.nvdla,0,3906,10,9999360,3139.02,3138.45,48.5582,34.9301
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1.nvdla,1,3906,10,9999360,3147.85,3147.53,48.4068,35.3678
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b64.nvdla,0,8,78,10223616,924.219,924.016,13.6814,10.4277
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b64.nvdla,1,8,78,10223616,952.672,952.43,14.3931,11.2751
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2048.nvdla,0,8,2,8388608,718.942,718.725,10.8295,8.5054
/var/scratch/dsl2511/nvdla-parts/fir_model-c256-t16-b2048.nvdla,1,8,2,8388608,739.295,738.857,10.6842,8.31805
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,0,8,4,8388608,425.435,425.187,7.31762,4.75238
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b1024.nvdla,1,8,4,8388608,426.249,425.994,7.38965,4.72342
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,0,122,10,9994240,564.547,564.454,9.51601,6.30374
/var/scratch/dsl2511/nvdla-parts/dft_model-c256-b32.nvdla,1,122,10,9994240,566.994,566.744,9.53371,6.31399
